article;Data Acquisition Method;Hardware Cost Category;Data Transfer Method;Assessment of Learning Outcomes Present;Technological Approach;Key Contribution
OHMLY: Development and Application of an Arduino-Based Educational Kit for Teaching Ohm's First Law in Youth and Adult Education;microcontroller;very low (can be reasonably acquired by a person);Onboard Storage;True;education learning-first;Development of an Arduino-based educational kit (OHMLY) integrated with block-based programming to enhance the understanding of Ohm's First Law among Youth and Adult Education (YAE) students.
Construction of an Educational Device for Real Time Data Acquisition Based on Arduino for a Calorimetric Study;microcontroller;very low (can be reasonably acquired by a person);Physical Computer Interface (USB Serial, etc);False;physics precision-first;Construction of a low-cost, Arduino-based device for real-time calorimetric data acquisition, achieving a 0.72% error rate in determining the mechanical equivalent of heat.
MICA: an innovative approach to remote data acquisition;microcontroller;very low (can be reasonably acquired by a person);Wireless;False;physics precision-first;Development of a modular, wireless 25 mm cube-based measurement and control system (MICA) with a custom low-latency protocol for educational laboratory environments.
Design of a Network Virtual Laboratory System for Digital Signal Processing Experiments;microcontroller;high (requires budget);Wireless;True;physics precision-first;Design and implementation of a LabVIEW-based network virtual laboratory for digital signal processing, enabling hardware resource sharing and remote distance education.
Error: get() returned more than one DataExtraction -- it returned 2!;;;;;;
Teaching Physical Sciences Using Arduino Physics Lab at the Universidad Del Cauca;microcontroller;mid (can be done with minimal institutional funding);Wireless;True;physics precision-first;Adaption of 5 self-guided university laboratory guides for mechanics, electromagnetism, and thermodynamics using a low-cost Arduino kit.
Integrating Microcontrollers and Data Analysis in Mechanics Education: A STEM Approach to Free Fall;microcontroller;very low (can be reasonably acquired by a person);Physical Computer Interface (USB Serial, etc);True;physics precision-first;Development of a modified PLX-DAQ Excel interface for two-way communication and real-time visualization of gravity acceleration.
Design of measurement and data acquisition laboratory for instrumentation engineering course;microcontroller;very low (can be reasonably acquired by a person);N/A, Other, Multiple or Unspecified;True;education learning-first;The design of an affordable, open-source pedagogical platform for meteorological and environmental data logging that replaces expensive proprietary DAQ systems in engineering education.
Error: get() returned more than one DataExtraction -- it returned 2!;;;;;;
3 Distributed Home Labs at the Time of the Covid;smartphone;very low (can be reasonably acquired by a person);Onboard Storage;True;education learning-first;
Intelligent System for Adaptive Resource Management in a Hybrid Educational Laboratory;microcontroller;very low (can be reasonably acquired by a person);Wireless;True;embedded/hybrid;Design and implementation of an intelligent adaptive resource management system for hybrid educational laboratories, including a mathematical model for optimizing user scheduling and resource utilization, validated via simulation and ESP32-based prototype.
A Wireless robotic educational platform approach;Other, N/A;very low (can be reasonably acquired by a person);Wireless;False;education learning-first;Proposal of a modular, reconfigurable wireless robotic educational platform using Arduino-compatible hardware and FPGA-based architecture, enabling scalable, low-cost, and flexible STEM learning environments with wireless communication and multi-device interaction.
A One-Credit Hands-On Introductory Course in Electrical and Computer Engineering Using a Variety of Topic Modules;DAQ Card;mid (can be done with minimal institutional funding);Physical Computer Interface (USB Serial, etc);True;physics precision-first;The paper describes the development and implementation of a one-credit, hands-on introductory course for freshmen that uses a modular approach to expose students to various fields of electrical and computer engineering (ECE) without overburdening their core curriculum.
A system based on fuzzy logic approach to control humidity and temperature in fungus cultivation;microcontroller;mid (can be done with minimal institutional funding);Physical Computer Interface (USB Serial, etc);False;embedded/hybrid;Development of a fuzzy logic-based control system that successfully preserves humidity (80-90%) and temperature ($20-28^{\circ}C$) for fungus cultivation by integrating an Arduino-based sensor node with a LabVIEW-based decision-making platform.
Error: get() returned more than one DataExtraction -- it returned 2!;;;;;;
Exploiting Augmented Reality and Internet of Things for Gamma Ray Experiments in Educational Field;microcontroller;high (requires budget);Wireless;False;embedded/hybrid;The creation of a remote-access laboratory framework that combines Augmented Reality (AR) and IoT (MQTT) to allow students to safely perform gamma ray spectrum measurements by controlling physical hardware (motors and detectors) in a remote lab via a mobile interface.
A low-cost computer-controlled Arduino-based educational laboratory system for teaching the fundamentals of photovoltaic cells;microcontroller;mid (can be done with minimal institutional funding);Physical Computer Interface (USB Serial, etc);False;embedded/hybrid;The development of SolarInsight, a portable and modular educational apparatus that combines open-source hardware (Arduino) with professional-grade data analysis software (ROOT) to allow undergraduate students to explore semiconductor physics through real experimental data and simulations.
Design and evaluation of a simple free-fall apparatus for accurate measurement of gravitational acceleration;Custom electronics;very low (can be reasonably acquired by a person);Physical Computer Interface (USB Serial, etc);True;embedded/hybrid;Development of a low-cost, high-precision free-fall apparatus that uses a loudspeaker as an impact sensor to achieve timing resolution better than 0.1 ms, allowing for gravitational acceleration measurements with deviations of less than 0.1%.
Teaching labs for blind students: equipment to measure the thermal expansion coefficient of a metal;microcontroller;very low (can be reasonably acquired by a person);N/A, Other, Multiple or Unspecified;True;education learning-first;Development of an accessible, audible-feedback modification for a thermal expansion apparatus, utilizing an Arduino-based system to convert visual dial indicator readings into acoustic signals, enabling blind students to participate fully and independently in laboratory sessions.
Ultrasound scanner—Teaching tool;DAQ Card;mid (can be done with minimal institutional funding);Physical Computer Interface (USB Serial, etc);True;physics precision-first;Development of a portable, low-cost ultrasound teaching toolkit using an ultrasonic range finder and NI myDAQ, designed to actively demonstrate pulse-echo principles and signal processing concepts in an undergraduate curriculum.
Study of coefficient of discharge through orifices;microcontroller;very low (can be reasonably acquired by a person);Physical Computer Interface (USB Serial, etc);False;embedded/hybrid;Development of a low-cost, self-driven educational experiment to measure the coefficient of discharge through orifices by using an Arduino-based sensor array to dynamically record falling water levels.
Organic solar cells and physics education;Other, N/A;very low (can be reasonably acquired by a person);Manual Recording;False;education learning-first;"Development of a low-cost, interdisciplinary educational project using homemade ""raspberry"" dye-sensitized solar cells and a DIY diffraction grating spectroscope to teach solar energy conversion and the physics of light absorption."
A laboratory activity for teaching natural radioactivity;Other, N/A;high (requires budget);Manual Recording;True;physics precision-first;An educational laboratory activity for undergraduate students that provides hands-on experience with natural radioactivity measurements using commercial granite samples, combining basic Geiger–Müller counting with advanced gamma-ray spectrometry techniques.
Rapid feedback control and stabilization of an optical tweezers with a budget microcontroller;microcontroller;very low (can be reasonably acquired by a person);Physical Computer Interface (USB Serial, etc);False;physics precision-first;"Demonstrated that an inexpensive Arduino Due microcontroller, when ""hacked"" at the register level to optimize I/O speed, can serve as a rapid, high-performance feedback controller for stabilizing complex optical systems, such as optical tweezers, with precision comparable to much more expensive commercial solutions."
Learning physics while monitoring vibrations of the Earth—investigating seismic phenomena by using a Raspberry Pi;microcontroller;high (requires budget);Wireless;True;physics precision-first;"Implementation of the ""Raspberry Shake"" seismograph as an accessible, real-time educational tool for teaching physics students about seismic phenomena, acoustics, and the scientific method by analyzing real-world earthquake and vibration data."
A hot-wire method based thermal conductivity measurement apparatus for teaching purposes;DAQ Card;high (requires budget);Physical Computer Interface (USB Serial, etc);False;physics precision-first;Development of a fully automated, high-precision thermal conductivity measurement apparatus based on the hot-wire technique, intended for advanced undergraduate teaching to illustrate complex heat transfer physics and error analysis.
A laboratory over the internet for a course on data analysis;microcontroller;very low (can be reasonably acquired by a person);Wireless;True;embedded/hybrid;Development of a remotely controlled, web-based laboratory system for teaching the statistical and probabilistic nature of measurement, using nuclear counting as a model, designed for accessibility, low cost, and ease of use in undergraduate natural science and engineering courses.
An inexpensive way to introduce students to gamma spectroscopy;microcontroller;mid (can be done with minimal institutional funding);Physical Computer Interface (USB Serial, etc);True;embedded/hybrid;"Development of a highly affordable, low-cost educational tool for teaching gamma spectroscopy by either fully simulating the experimental chain with software or by building a ""hardware-simulated"" apparatus using microcontrollers that mimic real NIM (Nuclear Instrumentation Module) components."
An undergraduate laboratory experiment to build and characterize a thermionic triode for use as an audio amplifier;DAQ Card;high (requires budget);Physical Computer Interface (USB Serial, etc);False;physics precision-first;Development of a comprehensive laboratory experiment where students build a thermionic triode from first principles within a vacuum chamber, providing hands-on experience in vacuum technology, analog electronics, and signal amplification.
Computing the gravitational acceleration within the World Pendulum Alliance as an application of the remote laboratory methodology;Custom electronics;high (requires budget);Wireless;True;embedded/hybrid;Implementation and management of a global network (WPA) of remote-controlled physical pendulums, allowing students worldwide to perform real-time experiments to compute gravitational acceleration and explore geophysical variations in gravity.
A simple calibration experiment for light dependent resistors using Malus law;Other, N/A;very low (can be reasonably acquired by a person);Manual Recording;True;education learning-first;Demonstrated a simple, low-cost method to calibrate the nonlinear response of a Light Dependent Resistor (LDR) using Malus' Law and a voltage divider circuit, providing a practical and accessible optics and electronics experiment for high school and undergraduate students.
A graduate laboratory experiment to set up a photon-counting detector using MKIDs;DAQ Card;high (requires budget);Physical Computer Interface (USB Serial, etc);True;physics precision-first;Implementation of a graduate-level laboratory course that allows students to build, characterize, and operate a photon-counting detector based on Microwave Kinetic Inductance Detectors (MKIDs), covering the entire pipeline from cryogenic setup to data acquisition and photon-energy analysis.
Acoustics in the daily life of bats;Other, N/A;very low (can be reasonably acquired by a person);Physical Computer Interface (USB Serial, etc);True;embedded/hybrid;"Development of a context-based physics laboratory curriculum centered on the acoustics of bat echolocation, utilizing low-cost model experiments (like the ""plush bat"" with an HC-SR04 sensor) to teach core concepts such as signal propagation, reflection, and directional hearing."
A remote laboratory for optical levitation of charged droplets;DAQ Card;high (requires budget);Physical Computer Interface (USB Serial, etc);True;physics precision-first;The development of a remote laboratory for optical levitation of charged droplets, allowing remote students and researchers to perform complex, modern physics experiments that were previously inaccessible due to cost, safety, and logistical constraints.
Real-time demonstration of the main characteristics of chaos in the motion of a real double pendulum;microcontroller;mid (can be done with minimal institutional funding);Wireless;True;physics precision-first;Developed a real-time measurement system for a double pendulum using a microcontroller, accelerometer, and optical encoder to analyze chaotic motion, dissipative effects, and demonstrate sensitive dependence on initial conditions for undergraduate physics education.
Error: get() returned more than one DataExtraction -- it returned 2!;;;;;;
A parametric oscillator for classroom demonstration or student laboratory;microcontroller;mid (can be done with minimal institutional funding);Physical Computer Interface (USB Serial, etc);True;embedded/hybrid;The paper's primary focus is the development of this specific apparatus to demonstrate parametric resonance and nonlinear dynamics (bistability) in a way that allows students to bridge theory and experiment.
Error: get() returned more than one DataExtraction -- it returned 2!;;;;;;
When geometry is irrelevant for heat diffusion: the transition from lumped-element to field formulations;DAQ Card;high (requires budget);Physical Computer Interface (USB Serial, etc);False;embedded/hybrid;Demonstration that thermal response is largely geometry-independent in low- and high-frequency limits, providing a justification for simple toy models in physics.
An undergraduate laboratory experiment to determine the critical point of SF6 using light scattering at selected wavelengths;microcontroller;high (requires budget);Physical Computer Interface (USB Serial, etc);False;physics precision-first;Development of a cost-effective undergraduate laboratory apparatus and associated LabVIEW/firmware control system to measure the critical exponent of SF6 using light scattering near the critical point.
Optimizing acceleration measurements using a single photogate;DAQ Card;high (requires budget);Physical Computer Interface (USB Serial, etc);False;physics precision-first;Developed a more precise method for measuring acceleration using a single photogate instead of two, reducing measurement discrepancies by a factor of 6.
